"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 12","Acesso","SPA 127/563","2,353","12","-21,493637","-51,65803"
"DR 12","Acesso","SP 563","2,378","8","-22,500602","-52,143541"
"DR 12","Acesso","SPA 569/294","2,386","4","-21,7524","-50,859809"
"DR 12","Acesso","SPA 147/563","2,43","4","-21,312549","-51,565496"
"DR 12","Acesso","SPA 051/563","2,448","4","-22,111799","-51,950183"
"DR 12","Acesso","SPA 008/457","2,464","4","-22,651741","-51,08895"
"DR 12","Acesso","SP 272","2,488","4","-22,271761","-51,536019"
"DR 12","Acesso","SPA 147/563","2,523","8","-21,311764","-51,565813"
"DR 12","Acesso","SPA 488/425","2,55","8","-22,375744","-51,554605"
"DR 12","Acesso","SPA 001/563","2,555","4","-22,514307","-52,128064"
"DR 12","Acesso","SPA 041/613","2,583","8","-22,510043","-52,566853"
"DR 12","Acesso","SP 613","2,604","4","-22,536351","-52,186012"
"DR 12","Acesso","SP 457","2,636","4","-22,683984","-51,130327"
"DR 12","Acesso","SPA 051/563","2,661","4","-22,110947","-51,952069"
"DR 12","Acesso","SPA 051/563","2,756","4","-22,11049","-51,952786"
"DR 12","Acesso","SPA 074/613","2,771","10","-22,532127","-52,863746"
"DR 12","Acesso","SPA 141/563","2,803","4","-21,370628","-51,604552"
"DR 12","Acesso","SPA 041/613","2,81","4","-22,511771","-52,567842"
"DR 12","Acesso","SPA 127/563","2,853","8","-21,494012","-51,662821"
"DR 12","Acesso","SPA 008/457","2,864","8","-22,65442","-51,086278"
"DR 12","Acesso","SPA 079/613","2,871","8","-22,511279","-52,948083"
"DR 12","Acesso","SPA 008/457","2,874","4","-22,654338","-51,086151"
"DR 12","Acesso","SPA 051/563","2,874","4","-22,110117","-51,953925"
"DR 12","Acesso","SPA 127/563","2,881","4","-21,494158","-51,663141"
"DR 12","Acesso","SPA 051/563","2,893","4","-22,109954","-51,953981"
"DR 12","Acesso","SP 501","2,934","4","-22,162471","-51,433771"
"DR 12","Acesso","SPA 126/563","2,976","4","-21,503137","-51,608295"
"DR 12","Acesso","SPA 488/425","3,005","4","-22,378453","-51,551333"
"DR 12","Acesso","SPA 141/563","3,032","4","-21,368839","-51,605704"
"DR 12","Acesso","SPA 001/563","3,044","4","-22,513397","-52,123399"
"DR 12","Acesso","SP 563","3,067","4","-22,494684","-52,141446"
"DR 12","Acesso","SPA 051/563","3,069","4","-22,10926","-51,955533"
"DR 12","Acesso","SP 272","3,088","4","-22,272001","-51,541797"
"DR 12","Acesso","SP 483","3,142","8","-22,318919","-51,28125"
"DR 12","Acesso","SPA 126/563","3,15","4","-21,50338","-51,606677"
"DR 12","Acesso","SPA 141/563","3,226","4","-21,367336","-51,60655"
"DR 12","Acesso","SPA 051/563","3,228","4","-22,108729","-51,956995"
"DR 12","Acesso","SP 272","3,238","4","-22,272207","-51,543264"
"DR 12","Acesso","SPA 007/272","3,256","4","-22,301654","-51,568142"
"DR 12","Acesso","SPA 141/563","3,291","8","-21,366794","-51,606831"
"DR 12","Acesso","SP 563","3,307","12","-22,492629","-52,140706"
"DR 12","Acesso","SPA 147/563","3,341","16","-21,304828","-51,568623"
"DR 12","Acesso","SP 272","3,357","4","-22,272155","-51,544424"
"DR 12","Acesso","SPA 051/563","3,362","4","-22,108209","-51,958168"
"DR 12","Acesso","SPA 056/272","3,364","8","-22,271908","-52,073474"
"DR 12","Acesso","SPA 126/563","3,373","4","-21,503852","-51,604541"
"DR 12","Acesso","SPA 141/563","3,392","4","-21,36595","-51,607292"
"DR 12","Acesso","SPA 056/272","3,394","4","-22,272064","-52,073715"
"DR 12","Acesso","SP 457","3,434","4","-22,677288","-51,127625"
"DR 12","Acesso","SPA 001/563","3,444","4","-22,512656","-52,119607"
"DR 12","Acesso","SP 457","3,454","8","-22,677118","-51,127677"
"DR 12","Acesso","SPA 126/563","3,467","4","-21,504042","-51,603685"
"DR 12","Acesso","SPA 141/563","3,551","4","-21,364718","-51,607986"
"DR 12","Acesso","SPA 141/563","3,561","8","-21,364536","-51,607906"
